# freq, freq_amplitude
0.000000000000000000e+00,3.012779174690237650e-07
3.333333333333333287e-02,2.690593088274566192e-07
6.666666666666666574e-02,2.742164992817255757e-07
1.000000000000000056e-01,3.058824016937739402e-07
1.333333333333333315e-01,3.534394098594192099e-07
1.666666666666666574e-01,3.457613105092373009e-07
2.000000000000000111e-01,4.003395285094007757e-07
2.333333333333333370e-01,5.628833834385199532e-08
2.666666666666666630e-01,9.653885432317291028e-07
2.999999999999999889e-01,8.750511716978823070e-07
3.333333333333333148e-01,2.909766966190481611e-07
3.666666666666666408e-01,1.022187046088949843e-06
4.000000000000000222e-01,1.800806908998592814e-06
4.333333333333333481e-01,1.779006686822861739e-06
4.666666666666666741e-01,1.024973877659057629e-06
5.000000000000000000e-01,7.812876628358936890e-07
5.333333333333333259e-01,1.352528056998452677e-06
5.666666666666666519e-01,1.433126923951681357e-06
5.999999999999999778e-01,3.829929074987354086e-07
6.333333333333333037e-01,9.496290546020064560e-07
6.666666666666666297e-01,9.775119914490942669e-07
6.999999999999999556e-01,9.986065413985589844e-08
7.333333333333332815e-01,8.015923608922588994e-07
7.666666666666666075e-01,8.609386398285846407e-07
8.000000000000000444e-01,8.126298906229473795e-07
8.333333333333333703e-01,7.351064856073824224e-07
8.666666666666666963e-01,7.496945495755652628e-07
9.000000000000000222e-01,6.552192630289715842e-07
9.333333333333333481e-01,7.329279066323559540e-07
9.666666666666666741e-01,1.150315090221558325e-06
1.000000000000000000e+00,1.316326089599949714e-06
1.033333333333333215e+00,4.203655534308812267e-07
1.066666666666666652e+00,9.491512902754598459e-07
1.100000000000000089e+00,7.632513849609662900e-07
1.133333333333333304e+00,5.919386974932448249e-08
1.166666666666666741e+00,4.913021605001591504e-07
1.199999999999999956e+00,3.618571426224659787e-07
1.233333333333333393e+00,1.482720586704705617e-07
1.266666666666666607e+00,9.037087066598485671e-07
1.300000000000000044e+00,1.256032610675223269e-07
1.333333333333333259e+00,2.047658965150622745e-07
1.366666666666666696e+00,8.668642580430200180e-07
1.399999999999999911e+00,5.849873180500616171e-07
1.433333333333333348e+00,7.155409498089580371e-07
1.466666666666666563e+00,3.586346759915254859e-07
