# time, time_amplitude
6.000000000000000000e+01,1.979336016693410757e-04
6.000999999999999801e+01,1.989851061536335110e-04
6.002000000000000313e+01,1.990951375696638215e-04
6.003000000000000114e+01,1.989976794202847547e-04
6.003999999999999915e+01,1.986373093659930171e-04
6.004999999999999716e+01,1.981447966141197268e-04
6.006000000000000227e+01,1.984646303402435728e-04
6.007000000000000028e+01,1.987735115192201991e-04
6.007999999999999829e+01,1.976592744635914342e-04
6.009000000000000341e+01,1.954471691536346901e-04
6.010000000000000142e+01,1.943071251044739350e-04
6.010999999999999943e+01,1.956073258034148315e-04
6.011999999999999744e+01,1.976071812124766721e-04
6.013000000000000256e+01,1.991168400974613188e-04
6.014000000000000057e+01,2.003298317688815124e-04
6.014999999999999858e+01,1.996666171831831772e-04
6.015999999999999659e+01,1.983841066051043726e-04
6.017000000000000171e+01,2.000342867308498409e-04
6.017999999999999972e+01,2.018027946243053513e-04
6.018999999999999773e+01,2.008945653965410461e-04
6.020000000000000284e+01,2.009677373237989150e-04
6.021000000000000085e+01,2.015389999563687868e-04
6.021999999999999886e+01,1.992255929391432100e-04
6.022999999999999687e+01,1.977740185799338230e-04
6.024000000000000199e+01,1.993335861637794855e-04
6.025000000000000000e+01,1.996278327261375211e-04
6.025999999999999801e+01,1.989135438206500765e-04
6.027000000000000313e+01,1.999645339891544199e-04
6.028000000000000114e+01,2.004582486535665521e-04
6.028999999999999915e+01,1.994459038947297882e-04
6.029999999999999716e+01,1.989789461533738473e-04
6.031000000000000227e+01,1.978904707302135343e-04
6.032000000000000028e+01,1.962806485194552170e-04
6.032999999999999829e+01,1.980006962442132585e-04
6.034000000000000341e+01,2.015661839657710845e-04
6.035000000000000142e+01,2.016321391815111344e-04
6.035999999999999943e+01,1.996089575743657926e-04
6.036999999999999744e+01,1.998729257465117022e-04
6.038000000000000256e+01,2.009478057152599582e-04
6.039000000000000057e+01,2.004512770535880342e-04
6.039999999999999858e+01,2.006606210992898851e-04
6.040999999999999659e+01,2.024488685238296079e-04
6.042000000000000171e+01,2.020248958869759622e-04
6.042999999999999972e+01,1.984126245835183926e-04
6.043999999999999773e+01,1.961883197079996840e-04
6.045000000000000284e+01,1.971885839506984752e-04
6.046000000000000085e+01,1.977887210288096945e-04
6.046999999999999886e+01,1.968121993456430053e-04
6.047999999999999687e+01,1.976184376609153122e-04
6.049000000000000199e+01,2.009372404117323418e-04
6.050000000000000000e+01,2.031128657416235482e-04
6.050999999999999801e+01,2.025219367220737086e-04
6.052000000000000313e+01,2.018343797789606321e-04
6.053000000000000114e+01,2.025059182449760005e-04
6.053999999999999915e+01,2.024952751163142431e-04
6.054999999999999716e+01,2.011104724838229038e-04
6.056000000000000227e+01,2.002531091356032325e-04
6.057000000000000028e+01,2.002391310841253032e-04
6.057999999999999829e+01,1.997280211220834754e-04
6.059000000000000341e+01,1.988597060832305544e-04
6.060000000000000142e+01,1.991707314836720609e-04
6.060999999999999943e+01,2.009365436075137416e-04
6.061999999999999744e+01,2.016988028015469388e-04
6.063000000000000256e+01,1.997086994006911905e-04
6.064000000000000057e+01,1.977308592211507910e-04
6.064999999999999858e+01,1.982766399458801116e-04
6.065999999999999659e+01,1.992943861633507602e-04
6.067000000000000171e+01,1.996654076119350836e-04
6.067999999999999972e+01,2.002592640288867207e-04
6.068999999999999773e+01,1.990902081933577288e-04
6.070000000000000284e+01,1.964915584717006876e-04
6.071000000000000085e+01,1.973854121635322078e-04
6.071999999999999886e+01,2.003288730044961103e-04
6.072999999999999687e+01,1.998135670325136548e-04
6.074000000000000199e+01,1.987138776820542789e-04
6.075000000000000000e+01,2.010261535296215072e-04
6.075999999999999801e+01,2.034081511050010174e-04
6.077000000000000313e+01,2.041161085923713506e-04
6.078000000000000114e+01,2.046261911139210369e-04
6.078999999999999915e+01,2.043886314765841396e-04
6.079999999999999716e+01,2.039363340956191649e-04
6.081000000000000227e+01,2.039068571642577404e-04
6.082000000000000028e+01,2.027022906480283753e-04
6.082999999999999829e+01,2.009970242025678065e-04
6.084000000000000341e+01,1.997250939409383238e-04
6.085000000000000142e+01,1.978273323976099268e-04
6.085999999999999943e+01,1.971776172054288143e-04
6.086999999999999744e+01,1.987986744717022876e-04
6.088000000000000256e+01,1.990177233603122235e-04
6.089000000000000057e+01,1.975795842857208532e-04
6.089999999999999858e+01,1.980904285622653424e-04
6.090999999999999659e+01,2.003539595655541691e-04
6.092000000000000171e+01,2.020554051682988978e-04
6.092999999999999972e+01,2.027314514054367599e-04
6.093999999999999773e+01,2.026130659453084923e-04
6.095000000000000284e+01,2.021631994076786786e-04
6.096000000000000085e+01,2.020640790053630515e-04
6.096999999999999886e+01,2.023787183256984222e-04
6.097999999999999687e+01,2.020939585727719444e-04
6.099000000000000199e+01,2.002937824813791855e-04
6.100000000000000000e+01,1.991979930734444381e-04
6.100999999999999801e+01,2.014006060437668639e-04
6.102000000000000313e+01,2.038060792866519034e-04
6.103000000000000114e+01,2.030628762210213328e-04
6.103999999999999915e+01,2.020452001206515845e-04
