# time, time_amplitude
6.000000000000000000e+01,1.221156470289565688e-04
6.000999999999999801e+01,1.206419755760863177e-04
6.002000000000000313e+01,1.215336359497018925e-04
6.003000000000000114e+01,1.238990176315259465e-04
6.003999999999999915e+01,1.267306395328833307e-04
6.004999999999999716e+01,1.288966216059302561e-04
6.006000000000000227e+01,1.291603359916337023e-04
6.007000000000000028e+01,1.279785384442311237e-04
6.007999999999999829e+01,1.273436212800545600e-04
6.009000000000000341e+01,1.275810065431990173e-04
6.010000000000000142e+01,1.280986159192846422e-04
6.010999999999999943e+01,1.296023598935215702e-04
6.011999999999999744e+01,1.312479834405407258e-04
6.013000000000000256e+01,1.305770129178510542e-04
6.014000000000000057e+01,1.288737471210477516e-04
6.014999999999999858e+01,1.304609597940139545e-04
6.015999999999999659e+01,1.357080651723491889e-04
6.017000000000000171e+01,1.395689685750152117e-04
6.017999999999999972e+01,1.381548932784842009e-04
6.018999999999999773e+01,1.331511399629624706e-04
6.020000000000000284e+01,1.279843949378247259e-04
6.021000000000000085e+01,1.240444696394802119e-04
6.021999999999999886e+01,1.217971500210607457e-04
6.022999999999999687e+01,1.204670062046806194e-04
6.024000000000000199e+01,1.185787646838948610e-04
6.025000000000000000e+01,1.173818229276310613e-04
6.025999999999999801e+01,1.178627438744113865e-04
6.027000000000000313e+01,1.175393529581401870e-04
6.028000000000000114e+01,1.162993908573967740e-04
6.028999999999999915e+01,1.166881696568430632e-04
6.029999999999999716e+01,1.173795935817212533e-04
6.031000000000000227e+01,1.163449996898975635e-04
6.032000000000000028e+01,1.151016288021602918e-04
6.032999999999999829e+01,1.137074107269464595e-04
6.034000000000000341e+01,1.097806020566707082e-04
6.035000000000000142e+01,1.043303834612495552e-04
6.035999999999999943e+01,1.020243216501665414e-04
6.036999999999999744e+01,1.041847802497264050e-04
6.038000000000000256e+01,1.063921286784663136e-04
6.039000000000000057e+01,1.062225540761118422e-04
6.039999999999999858e+01,1.059350246193417838e-04
6.040999999999999659e+01,1.047424748307613742e-04
6.042000000000000171e+01,9.999050474425613970e-05
6.042999999999999972e+01,9.484336551922307014e-05
6.043999999999999773e+01,9.315213406710329020e-05
6.045000000000000284e+01,9.242503585648428248e-05
6.046000000000000085e+01,8.946634757665655714e-05
6.046999999999999886e+01,8.592437208844603202e-05
6.047999999999999687e+01,8.380832049633888097e-05
6.049000000000000199e+01,8.129841106989037322e-05
6.050000000000000000e+01,7.818009572222908005e-05
6.050999999999999801e+01,7.896947110527888789e-05
6.052000000000000313e+01,8.388051171668495221e-05
6.053000000000000114e+01,8.680257296008513849e-05
6.053999999999999915e+01,8.633266878481524675e-05
6.054999999999999716e+01,8.580820904924311499e-05
6.056000000000000227e+01,8.482678265317763588e-05
6.057000000000000028e+01,8.223335470570730785e-05
6.057999999999999829e+01,8.107983987367488039e-05
6.059000000000000341e+01,8.471427261571391407e-05
6.060000000000000142e+01,9.200574192392232020e-05
6.060999999999999943e+01,9.770729289206494931e-05
6.061999999999999744e+01,9.857217637441377609e-05
6.063000000000000256e+01,9.643112406815378004e-05
6.064000000000000057e+01,9.296202108325140516e-05
6.064999999999999858e+01,8.979013540849552525e-05
6.065999999999999659e+01,9.129967806919193527e-05
6.067000000000000171e+01,9.704996936443213360e-05
6.067999999999999972e+01,1.010536870548656602e-04
6.068999999999999773e+01,1.019912784373743327e-04
6.070000000000000284e+01,1.010236898394325914e-04
6.071000000000000085e+01,9.682163066912702950e-05
6.071999999999999886e+01,9.105658332260293858e-05
6.072999999999999687e+01,8.645736118228671810e-05
6.074000000000000199e+01,8.236021480277779623e-05
6.075000000000000000e+01,8.042334512024436625e-05
6.075999999999999801e+01,8.315979538771358618e-05
6.077000000000000313e+01,8.733486155452196682e-05
6.078000000000000114e+01,8.953656843200669656e-05
6.078999999999999915e+01,9.070326740892708920e-05
6.079999999999999716e+01,9.070425453367030890e-05
6.081000000000000227e+01,8.745294954828116557e-05
6.082000000000000028e+01,8.228053478975136067e-05
6.082999999999999829e+01,7.979438076494621340e-05
6.084000000000000341e+01,8.134807336365291552e-05
6.085000000000000142e+01,8.347620434849611709e-05
6.085999999999999943e+01,8.377510792078980760e-05
6.086999999999999744e+01,8.276842054715637532e-05
6.088000000000000256e+01,8.082949856360337377e-05
6.089000000000000057e+01,7.793305525376894108e-05
6.089999999999999858e+01,7.451867858258733165e-05
6.090999999999999659e+01,7.195964325911141614e-05
6.092000000000000171e+01,7.210315944893579577e-05
6.092999999999999972e+01,7.435819956582436451e-05
6.093999999999999773e+01,7.638249090496926417e-05
6.095000000000000284e+01,7.724621422210614435e-05
6.096000000000000085e+01,7.620784979102670164e-05
6.096999999999999886e+01,7.259749976745786919e-05
6.097999999999999687e+01,6.779926046629759762e-05
6.099000000000000199e+01,6.372293682618066087e-05
6.100000000000000000e+01,6.157810310420587670e-05
6.100999999999999801e+01,6.157029344582680972e-05
6.102000000000000313e+01,6.225150984601609757e-05
6.103000000000000114e+01,6.302423142553423849e-05
6.103999999999999915e+01,6.475025210396314116e-05
6.104999999999999716e+01,6.683857648455930741e-05
6.106000000000000227e+01,6.809178253111269885e-05
6.107000000000000028e+01,6.831046790044977804e-05
6.107999999999999829e+01,6.792737628843320812e-05
6.109000000000000341e+01,6.849387497417245760e-05
6.110000000000000142e+01,7.066300063974140407e-05
6.110999999999999943e+01,7.356362484772546837e-05
6.111999999999999744e+01,7.848921918732749514e-05
6.113000000000000256e+01,8.597880846086098337e-05
6.114000000000000057e+01,9.250146407869622189e-05
6.114999999999999858e+01,9.704877867701523851e-05
6.115999999999999659e+01,1.012559323616980524e-04
6.117000000000000171e+01,1.034492984515287547e-04
